title,price,shop,detail_url
Apple/苹果【520礼遇季】 iPhone 15ProMax 苹果15promax  5G资源手机 iPhone 15 Pro Max 黑色钛金属 256GB 公开版,￥8769.00,航正3C数码买手店,https://item.jd.com/10086038557112.html
"Apple/苹果 iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机
								更多优惠详情请点击：",￥7599.00,Apple产品京东自营旗舰店,https://item.jd.com/100066896472.html
"Apple/苹果 iPhone 15 Pro Max (A3108) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机
								更多优惠详情请点击：",￥8549.00,Apple产品京东自营旗舰店,https://item.jd.com/100068388451.html
"Apple/苹果 iPhone 15 (A3092) 128GB 黑色 支持移动联通电信5G 双卡双待手机
								更多优惠详情请点击：",￥5199.00,Apple产品京东自营旗舰店,https://item.jd.com/100066896356.html
"Apple/苹果 iPhone 13 (A2634) 128GB 午夜色 支持移动联通电信5G 双卡双待手机
								更多优惠详情请点击：",￥3799.00,Apple产品京东自营旗舰店,https://item.jd.com/100026667880.html
"AppleiPhone 14 苹果14 双卡双待 5G全网通 ASIS资源手机 iphone14  黑色 128GB【大礼包+赠2年店保】
								【现货速发，至快次日达】领券下单至高立省1000元，更有多重礼劵叠加福利购，尽享低价，下单享大礼包",￥3889.00,锦新数码买手店,https://item.jd.com/10101480923846.html
Apple【520礼遇季】苹果15 iPhone15 支持5G移动l联通电信 ASIS资源手 iPhone 15 粉色 128GB 公开版,￥5658.00,航正3C数码买手店,https://item.jd.com/10086037538964.html
"Apple iPhone 15 Pro Max (A3108) 256GB 黑色钛金属 支持移动联通电信5G 双卡双待手机
								iPhone15全系列520心动好价来袭,",￥8149.00,中国联通京东自营旗舰店,https://item.jd.com/100068388599.html
Apple【分期免息】iPhone 15 Pro Max 苹果双卡5G手机 ASIS资源 15ProMax 原色钛金属 256GB  公开版,￥8399.00,京智选手机通讯买手店,https://item.jd.com/10097506312265.html
Apple【520情人节】iPhone 15 Pro 全网通5G 苹果15pro双卡 ASIS资源 苹果15Pro 原色钛金属 128GB 公开版全网通+2年只换不修,￥7238.00,迪达斯手机通讯买手店,https://item.jd.com/10085907684128.html
iPhone【现货速发】苹果13  iphone13 5G双卡双待全网通ASIS资源手机 iPhone13 粉色 128G 【未使用+店保2年】,￥4088.00,京之优手机买手店,https://item.jd.com/10070788617531.html
"Apple【520礼遇季】苹果13 iphone13 5G全网通手机 ASIS资源 未使用 iPhone13 粉色 128GB【原装未使用+2年只换不修】
								【苹果13限时补贴价直降800】全店商品领券下单更优惠~",￥5158.00,汇雅帕手机通讯买手店,https://item.jd.com/10079684251708.html
Apple【分期免息】 iPhone 15 128GB,￥5288.00,京智选手机通讯买手店,https://item.jd.com/10095279120014.html
Apple【情人节礼包】苹果15 ProMax   A17 Pro芯片 双卡  苹果资源手机 iPhone15 黑色    6.1英寸 256GB 【豪华大礼包+720天只换不修】,￥6487.00,京老城手机通讯买手店,https://item.jd.com/10097460908393.html
"拍拍	
Apple 苹果13 iPhone 13 移动联通电信苹果5G 二手手机  国行 星光色 128G
								溯源好货，专业质检，正规发票，千家门店联保",￥2759.00,爱回收严选官方旗舰店,https://item.jd.com/10037844732900.html
Apple iPhone 13 苹果13 支持移动联通电信5G 双卡双待资源手机 13星光色 128GB 【原装未使用+720天只换不修】,￥5857.00,京老城手机通讯买手店,https://item.jd.com/10095942480903.html
Apple【情人节礼包】苹果 iPhone 14 Pro 苹果14pro 5G 苹果权益手机 14pro 暗紫色 128GB【未激活未使用+豪华大礼包】,￥6698.00,京老城手机通讯买手店,https://item.jd.com/10095898727035.html
Apple苹果 iphone15promax 全网通5G手机 双卡双待分期免息 白色钛金属 256G 【12期白条 免息】,￥8999.00,浦联中慧官方旗舰店,https://item.jd.com/10086615363131.html
Apple【情人节礼物】iPhone 14 Pro 苹果14pro手机 ASIS资源 5G全网通 暗紫色（人气推荐&晒单有礼） 256GB 【大礼包+赠2年店保】,￥6558.00,迅鑫通手机通讯买手店,https://item.jd.com/10072446337618.html
"Apple/苹果 AirPods Pro (第二代) 搭配MagSafe充电盒 (USB-C) 苹果耳机 蓝牙耳机 适用iPhone/iPad/Mac
								【AirPodsPro，妙得不同凡响】2024年京东金榜必入单品，换新季限时限量到手价1448元起！更多AirPods请",￥1448.00,Apple产品京东自营旗舰店,https://item.jd.com/100066896290.html
"爱心东东	
Apple iPhone 苹果15 三网通 美版有锁三网通 卡贴机 15 6.1英寸 黑色 128GB 【100天碎屏险】美版有锁",￥3539.00,瑞寅海外买手店,https://item.jd.com/10086856114061.html
Apple【分期免息】Apple苹果iphone 14pro 全网通双卡双待ASIS资源手机 14pro紫色 256GB【公开版+店保2年】,￥6499.00,旷视界手机通讯买手店,https://item.jd.com/10088549301755.html
Apple【520情人节】iPhone 15 Plus 苹果15plus灵动岛6.7大屏ASIS资源 苹果15 Plus 黑色 6.7大屏 128GB 公开版全网通+2年只换不修,￥6138.00,迪达斯手机通讯买手店,https://item.jd.com/10085907685747.html
Apple【520情人节】苹果13 iphone13 5G全网通 ASIS资源 未使用 粉红色 128G 公开版全网通+2年只换不修,￥5076.00,迪达斯手机通讯买手店,https://item.jd.com/10075384648481.html
Apple/ 苹果 iPhone 14 手机5G 双卡双待 未使用 苹果手机 资源手机 14午夜色 128GB【赠大礼包+品牌快充20W】,￥5138.00,汇雅帕手机通讯买手店,https://item.jd.com/10079760258344.html
"拍拍	
苹果 Apple  iPhone 11 苹果11 苹果二手手机 备用机 国行 白色 64G
								溯源好货，专业质检，正规发票，千家门店联保",￥1249.00,爱回收严选官方旗舰店,https://item.jd.com/66923128054.html
"Apple/苹果 iPhone 15 Plus (A3096) 128GB 黑色支持移动联通电信5G 双卡双待手机
								更多优惠详情请点击：",￥6199.00,Apple产品京东自营旗舰店,https://item.jd.com/100066896418.html
Apple iPhone 15 Pro (A3104) 256GB 白色钛金属 支持移动联通电信5G 双卡双待手机,￥6979.00,,https://item.jd.com/100088850074.html
"拍拍	
Apple iPhone11 苹果11 国行全网通 双卡双待 二手苹果手机 游戏手机 黑色【店长推荐】 64GB 8成新",￥1088.00,星晨优品二手手机专营店,https://item.jd.com/10069145436731.html
"拍拍	
Apple iPhone12 苹果12 苹果12二手 二手苹果手机 二手5G手机 游戏手机 国行 黑色（店长推荐）活动款 95新 128G 全网通 国行双卡（赠豪华大礼包）",￥1849.00,靓机优品二手手机专营店,https://item.jd.com/10056279913828.html
苹果XS Max 256G 大内存拒绝卡顿 优选靓机原装屏幕,￥1998.00,宸冠手机,https://item.jd.com/10071185394112.html
APPLE苹果5s便宜货iPhone5苹果4S手机100以下手机相机学生备用机 苹果4代Wi-Fi版8G【3成新】 9新送配件id已安装20软件开机即用,￥61.66,优源经营部,https://item.jd.com/10092670925655.html
"拍拍	
Apple iPhone 苹果6/苹果6Plus 苹果6 苹果6plus 二手手机 国行全网通 苹果6 金色 16G【100%品牌电池】+【充电器套装】 9成新
								品质如一，服务至上，本店注重产品质量，服务质量，购机无忧！爆款畅享10e热销中！点击直达！",￥199.00,果美严选二手手机专营店,https://item.jd.com/10048440231680.html
Apple iPhone 15 Pro (A3104)128GB原色钛金属支持移动联通电信 轻合约,￥7399.00,中国移动京东自营官方旗舰店,https://item.jd.com/100067108004.html
"拍拍	
苹果X 二手苹果手机 Apple iPhoneX 全网通 游戏拍照手机 二手手机 二手苹果手机 银白色 64G全网通【百分百电池】 8成新
								苹果x限时特惠，黑色64g到手价低至909",￥1008.00,京致二手手机专营店,https://item.jd.com/10062405011982.html
"拍拍	
苹果8Plus手机 Apple iPhone 8Plus 苹果8P 二手手机  二手9成新 深空灰色 64G全网通【100%电池】9成新
								苹果x限时特惠，黑色64g到手价低至909",￥1007.00,京致二手手机专营店,https://item.jd.com/10046572019355.html
Apple/ 苹果 iPhone 14 手机5G 双卡双待 未使用 苹果手机 资源手机 14午夜色 128GB【赠大礼包+品牌快充20W】,￥5138.00,汇雅帕手机通讯买手店,https://item.jd.com/10079760258344.html
"拍拍	
Apple iPhone 苹果6/苹果6Plus  苹果6 苹果6plus 二手手机 全网通 苹果6-深空灰色 16G全网通【百分百电池】 9成新",￥209.00,京致二手手机专营店,https://item.jd.com/10050819747413.html
"爱心东东	
Apple苹果 iPhone11 库存机 店保一年 全网通双卡双待4G手机 分期免息 苹果11【白色】 128G 快充 店保一年
								苹果11双卡双待手机",￥2699.00,品阁优美手机通讯买手店,https://item.jd.com/10077840612396.html
"爱心东东	
Apple 苹果 iPhone14 苹果系列 高刷新率 智能手机 美版有锁 14 紫色【6.1英寸】 128GB 美版有锁 100天碎屏险",￥2989.00,瑞寅海外买手店,https://item.jd.com/10094430173583.html
"拍拍	
Apple iPhone13 苹果13 原装国行 苹果13二手 二手苹果手机 二手游戏手机 5G 午夜色【活动款】 95新 128G 原装屏幕国行双卡（送豪华大礼包）",￥2699.00,靓机优品二手手机专营店,https://item.jd.com/10092856424285.html
"爱心东东	
Apple/苹果 iPhone15 系列 iPhone15Plus 全新美版有锁 三网通 手机 15 6.1寸 蓝色 128GB【180天碎屏险】美版有锁",￥3997.00,前骏数码3C买手店,https://item.jd.com/10094159492489.html
Apple【分期免息】iPhone 15 Pro Max 256GB,￥8399.00,京智选手机通讯买手店,https://item.jd.com/10097506312265.html
Apple【分期免息】苹果14pro iPhone 14pro全网通手机权益 【14 Pro暗紫色6.1英寸】 128GB 公开版+720天只换不修,￥6659.00,京影智手机通讯买手店,https://item.jd.com/10081297098054.html
"拍拍	
Apple iPhone XS MAX 苹果xsmax 苹果xs  国行4G全网通 二手苹果手机 金色 XS-64G【国行全网通+赠送配件大礼包】 8成新
								【本店热销】iphonexsmax6.5英寸超视网膜高清显示屏，A12仿生新一代神经网络引擎，原深感摄像头面容识别，智能生活一触即发，给您带来非凡体验。",￥1159.00,九州优品二手手机专营店,https://item.jd.com/10061001760469.html
"拍拍	
Apple 苹果 iPhone 12mini 苹果12 mini 5G 二手苹果手机 国行全网通 白色【赠:5件套】 64GB 9新
								7天无理由退换货，365天质保，下单即送20W快充，点我抢购",￥1318.00,首昕二手手机专营店,https://item.jd.com/10041134799418.html
Apple手机苹果4苹果4S手机二手苹果5学生便宜备用机iPhone4S智能 白 4代 插手机卡+WiFi版16G 9新送线+壳+卡针+卡套+帮注册ID,￥84.24,优源经营部,https://item.jd.com/10092670945024.html
"Apple【现货速发】苹果 iphone15pro苹果15pro全网通双卡双待资源手机 iPhone15Pro 6.1英寸 原色钛金属 128GB 公开版全网通+店保2年
								【现货速发，至快次日达】领券下单至高立省800元，更有多重礼劵叠加福利购，尽享低价，详情",￥6899.00,有间手机买手店,https://item.jd.com/10085905697214.html
Apple【情人节礼物】苹果15 iPhone 15plus 双卡双待手机 ASIS资源手机 iPhone 15 蓝色（小清新） 128GB【晒单有礼+赠2年店保】,￥5188.00,迅鑫通手机通讯买手店,https://item.jd.com/10085886759908.html
"拍拍	
Apple iPhone 苹果7/苹果7Plus 二手手机 国行全网通 苹果7Plus 磨砂黑 128G【100%品牌电池】+【充电器套装】 9成新
								品质如一，服务至上，本店注重产品质量，服务质量，购机无忧！爆款畅享10e热销中！点击直达！",￥556.00,果美严选二手手机专营店,https://item.jd.com/10048480040161.html
Apple/苹果【520礼遇季】 iPhone 15ProMax 苹果15promax  5G资源手机 iPhone 15 Pro Max 黑色钛金属 256GB 公开版,￥8769.00,航正3C数码买手店,https://item.jd.com/10086038557112.html
"拍拍	
Apple iPhone 12 mini苹果12mini 5.4寸 5G 二手手机 黑色 64G【全网通】 9成新
								苹果x限时特惠，黑色64g到手价低至909",￥1236.00,京致二手手机专营店,https://item.jd.com/10072813283271.html
"Apple【现货速发】 iPhone 15 苹果15 ASIS资源手机 苹果手机apple 苹果15 黑色 6.1寸 128G 店保2年
								【新春特惠】苹果15系列，下单领取大额优惠券！",￥5188.00,柯乐家手机通讯买手店,https://item.jd.com/10085479995065.html
Apple【分期免息】 iPhone 15 Pro 苹果15pro 6.1英寸5G全网通ASIS资源 15 Pro 白色钛金属 6.1英寸 128GB 公开版,￥6999.00,京智选手机通讯买手店,https://item.jd.com/10095280090300.html
Apple【520礼遇季】苹果13 iphone13 5G全网通手机 ASIS资源 未使用 iPhone13 粉色 128GB【原装未使用+2年只换不修】,￥5158.00,汇雅帕手机通讯买手店,https://item.jd.com/10079684251708.html
Apple苹果6s手机iPhone6备用机苹果6plus学生网课游戏便宜拍照手机 苹果6/中度使用 16G+WIFI版+送配件颜色备注,￥156.00,优源经营部,https://item.jd.com/10092671014656.html
"拍拍	
Apple iPhone SE 苹果se 二手苹果手机 苹果SE 银色 16G 全网通
								国行正品，品类好货，下单即送配件套装及运费险，华为Mate40Pro，5G麒麟9000|非凡影响超感纸徕卡电影影像²",￥418.00,和合优品二手商品专营店,https://item.jd.com/10024430600961.html
Apple【分期免息】苹果14 iphone14 5G双卡全网通 6.1英寸 ASIS资源 14-星光色 6.1寸 128GB【2年店保】,￥5000.00,京智选手机通讯买手店,https://item.jd.com/10073328998847.html
Apple iPhone 15 Pro Max (A3108) 256GB 白色钛金属 支持移动联通电信5G 双卡双待手机,￥7899.00,,https://item.jd.com/100088850142.html
"爱心东东	
Apple iPhone15pro 系列 苹果15promax 美版有锁 三网通手机 分期免息 iPhone 15 Pro 原色钛金属 128GB 美版有锁【180天碎屏险】",￥5037.00,前骏数码3C买手店,https://item.jd.com/10082936678640.html
Apple【520情人节】iPhone 15 Pro 全网通5G 苹果15pro双卡 ASIS资源 苹果15Pro 白色钛金属 256GB 公开版全网通+2年只换不修,￥7819.00,迪达斯手机通讯买手店,https://item.jd.com/10085907684134.html
